REF_DATE,GEO,DGUID,Air passenger traffic,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021,"Calgary International, Alberta",,Other International sector,Number,223,units,0,v65778580,13.7,347945,,,,0
2017,"Edmonton International, Alberta",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65778870,52.1,7491278,,,,0
2018,"Edmonton International, Alberta",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65778870,52.1,8406040,,,,0
2019,"Edmonton International, Alberta",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65778870,52.1,7892679,,,,0
2020,"Edmonton International, Alberta",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65778870,52.1,2461545,,,,0
2021,"Edmonton International, Alberta",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65778870,52.1,2593046,,,,0
2017,"Edmonton International, Alberta",,Domestic sector,Number,223,units,0,v65778874,52.5,6216778,,,,0
2018,"Edmonton International, Alberta",,Domestic sector,Number,223,units,0,v65778874,52.5,7025648,,,,0
2019,"Edmonton International, Alberta",,Domestic sector,Number,223,units,0,v65778874,52.5,6514992,,,,0
2020,"Edmonton International, Alberta",,Domestic sector,Number,223,units,0,v65778874,52.5,2093096,,,,0
2021,"Edmonton International, Alberta",,Domestic sector,Number,223,units,0,v65778874,52.5,2493369,,,,0
2017,"Edmonton International, Alberta",,Transborder sector,Number,223,units,0,v65778875,52.6,860430,,,,0
2018,"Edmonton International, Alberta",,Transborder sector,Number,223,units,0,v65778875,52.6,974992,,,,0
2019,"Edmonton International, Alberta",,Transborder sector,Number,223,units,0,v65778875,52.6,963819,,,,0
2020,"Edmonton International, Alberta",,Transborder sector,Number,223,units,0,v65778875,52.6,212245,,,,0
2021,"Edmonton International, Alberta",,Transborder sector,Number,223,units,0,v65778875,52.6,55086,,,,0
2017,"Edmonton International, Alberta",,Other International sector,Number,223,units,0,v65778876,52.7,414070,,,,0
2018,"Edmonton International, Alberta",,Other International sector,Number,223,units,0,v65778876,52.7,405400,,,,0
2019,"Edmonton International, Alberta",,Other International sector,Number,223,units,0,v65778876,52.7,413868,,,,0
2020,"Edmonton International, Alberta",,Other International sector,Number,223,units,0,v65778876,52.7,156204,,,,0
2021,"Edmonton International, Alberta",,Other International sector,Number,223,units,0,v65778876,52.7,44591,,,,0
2017,"Vancouver International, British Columbia",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65779670,169.1,23639196,,,,0
2018,"Vancouver International, British Columbia",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65779670,169.1,25476699,,,,0
2019,"Vancouver International, British Columbia",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65779670,169.1,25738851,,,,0
2020,"Vancouver International, British Columbia",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65779670,169.1,7199495,,,,0
2021,"Vancouver International, British Columbia",,"Total, passengers enplaned and deplaned",Number,223,units,0,v65779670,169.1,7003245,,,,0
2017,"Vancouver International, British Columbia",,Domestic sector,Number,223,units,0,v65779674,169.5,11476921,,,,0
2018,"Vancouver International, British Columbia",,Domestic sector,Number,223,units,0,v65779674,169.5,12267590,,,,0
2019,"Vancouver International, British Columbia",,Domestic sector,Number,223,units,0,v65779674,169.5,12297884,,,,0
2020,"Vancouver International, British Columbia",,Domestic sector,Number,223,units,0,v65779674,169.5,4076960,,,,0
2021,"Vancouver International, British Columbia",,Domestic sector,Number,223,units,0,v65779674,169.5,4972263,,,,0
2017,"Vancouver International, British Columbia",,Transborder sector,Number,223,units,0,v65779675,169.6,5911459,,,,0
2018,"Vancouver International, British Columbia",,Transborder sector,Number,223,units,0,v65779675,169.6,6239264,,,,0
2019,"Vancouver International, British Columbia",,Transborder sector,Number,223,units,0,v65779675,169.6,6299058,,,,0
2020,"Vancouver International, British Columbia",,Transborder sector,Number,223,units,0,v65779675,169.6,1316346,,,,0
2021,"Vancouver International, British Columbia",,Transborder sector,Number,223,units,0,v65779675,169.6,931359,,,,0
2017,"Vancouver International, British Columbia",,Other International sector,Number,223,units,0,v65779676,169.7,6250816,,,,0
2018,"Vancouver International, British Columbia",,Other International sector,Number,223,units,0,v65779676,169.7,6969845,,,,0
2019,"Vancouver International, British Columbia",,Other International sector,Number,223,units,0,v65779676,169.7,7141909,,,,0
2020,"Vancouver International, British Columbia",,Other International sector,Number,223,units,0,v65779676,169.7,1806189,,,,0
2021,"Vancouver International, British Columbia",,Other International sector,Number,223,units,0,v65779676,169.7,1099623,,,,0
